"periode_data","tahun","nama_provinsi","nama_kabupaten_kota","nama_kecamatan","nama_kelurahan","jenis_kelamin","usia","jumlah"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KARET TENGSIN","Laki-laki","65","468"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","PETAMBURAN","Laki-laki","65","764"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON MELATI","Laki-laki","65","725"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KEBON KACANG","Laki-laki","65","796"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","TANAH ABANG","KAMPUNG BALI","Laki-laki","65","463"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","JOHAR BARU","Laki-laki","65","1204"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","KAMPUNG RAWA","Laki-laki","65","508"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","GALUR","Laki-laki","65","460"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA PUSAT","JOHAR BARU","TANAH TINGGI","Laki-laki","65","987"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Laki-laki","65","1533"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAMAL MUARA","Laki-laki","65","235"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","KAPUK MUARA","Laki-laki","65","705"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PEJAGALAN","Laki-laki","65","2337"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PLUIT","Laki-laki","65","1986"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","TANJUNG PRIOK","Laki-laki","65","677"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER JAYA","Laki-laki","65","1211"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","PAPANGGO","Laki-laki","65","666"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNGAI BAMBU","Laki-laki","65","697"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","KEBON BAWANG","Laki-laki","65","1216"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","SUNTER AGUNG","Laki-laki","65","1858"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","TANJUNG PRIOK","WARAKAS","Laki-laki","65","856"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","KOJA","Laki-laki","65","555"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU UTARA","Laki-laki","65","1264"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","LAGOA","Laki-laki","65","1168"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK UTARA","Laki-laki","65","747"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","TUGU SELATAN","Laki-laki","65","446"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KOJA","RAWA BADAK SELATAN","Laki-laki","65","580"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","CILINCING","Laki-laki","65","654"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SUKAPURA","Laki-laki","65","520"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","MARUNDA","Laki-laki","65","303"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","KALI BARU","Laki-laki","65","1116"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER TIMUR","Laki-laki","65","697"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","ROROTAN","Laki-laki","65","443"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","CILINCING","SEMPER BARAT","Laki-laki","65","1280"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN TIMUR","Laki-laki","65","1250"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","PADEMANGAN BARAT","Laki-laki","65","1698"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","PADEMANGAN","ANCOL","Laki-laki","65","474"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING TIMUR","Laki-laki","65","1600"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","PEGANGSAAN DUA","Laki-laki","65","1339"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA UTARA","KELAPA GADING","KELAPA GADING BARAT","Laki-laki","65","1198"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG BARAT","Laki-laki","65","1422"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","DURI KOSAMBI","Laki-laki","65","1113"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","RAWA BUAYA","Laki-laki","65","860"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KEDAUNG KALI ANGKE","Laki-laki","65","427"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","KAPUK","Laki-laki","65","1306"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","CENGKARENG","CENGKARENG TIMUR","Laki-laki","65","1141"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","GROGOL","Laki-laki","65","756"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN UTARA","Laki-laki","65","851"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TOMANG","Laki-laki","65","1169"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR","Laki-laki","65","1245"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","TANJUNG DUREN SELATAN","Laki-laki","65","874"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","JELAMBAR BARU","Laki-laki","65","1331"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","GROGOL PETAMBURAN","WIJAYA KUSUMA","Laki-laki","65","901"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TAMAN SARI","Laki-laki","65","723"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KRUKUT","Laki-laki","65","743"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MAPHAR","Laki-laki","65","757"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","TANGKI","Laki-laki","65","570"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","MANGGA BESAR","Laki-laki","65","427"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","KEAGUNGAN","Laki-laki","65","578"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","GLODOK","Laki-laki","65","579"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMAN SARI","PINANGSIA","Laki-laki","65","395"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","TAMBORA","Laki-laki","65","430"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","KALI ANYAR","Laki-laki","65","409"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI UTARA","Laki-laki","65","577"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","TANAH SEREAL","Laki-laki","65","960"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","KERENDANG","Laki-laki","65","449"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN BESI","Laki-laki","65","478"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","ANGKE","Laki-laki","65","856"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","JEMBATAN LIMA","Laki-laki","65","602"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","PEKOJAN","Laki-laki","65","960"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","ROA MALAKA","Laki-laki","65","240"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","TAMBORA","DURI SELATAN","Laki-laki","65","536"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEBON JERUK","Laki-laki","65","1034"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI UTARA","Laki-laki","65","825"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","SUKABUMI SELATAN","Laki-laki","65","515"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KELAPA DUA","Laki-laki","65","524"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","DURI KEPA","Laki-laki","65","1715"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA UTARA","Laki-laki","65","1083"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEBON JERUK","KEDOYA SELATAN","Laki-laki","65","771"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","KALIDERES","Laki-laki","65","972"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","SEMANAN","Laki-laki","65","673"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","TEGAL ALUR","Laki-laki","65","1032"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","KAMAL","Laki-laki","65","667"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KALI DERES","PEGADUNGAN","Laki-laki","65","1210"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","PALMERAH","Laki-laki","65","1424"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","SLIPI","Laki-laki","65","412"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU UTARA","Laki-laki","65","572"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","JATI PULO","Laki-laki","65","832"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KEMANGGISAN","Laki-laki","65","1050"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","PALMERAH","KOTA BAMBU SELATAN","Laki-laki","65","455"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN UTARA","Laki-laki","65","761"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA UTARA","Laki-laki","65","917"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","MERUYA SELATAN","Laki-laki","65","568"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","SRENGSENG","Laki-laki","65","769"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","JOGLO","Laki-laki","65","748"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA BARAT","KEMBANGAN","KEMBANGAN SELATAN","Laki-laki","65","597"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET TIMUR","Laki-laki","65","867"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","TEBET BARAT","Laki-laki","65","911"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MENTENG DALAM","Laki-laki","65","956"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","KEBON BARU","Laki-laki","65","1123"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","BUKIT DURI","Laki-laki","65","1134"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI SELATAN","Laki-laki","65","708"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","TEBET","MANGGARAI","Laki-laki","65","799"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","SETIA BUDI","Laki-laki","65","102"
"2015","2015","PROVINSI DKI JAKARTA","JAKARTA SELATAN","SETIA BUDI","KARET SEMANGGI","Laki-laki","65","96"
